,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1600-1649,7280円,96分,110.2%,18件
1,1650-1699,5554円,96分,107.7%,22件
2,1700-1749,7420円,81分,112.2%,26件
3,1750-1799,7513円,91分,111%,18件
4,1800-1849,6870円,88分,110.4%,24件
5,1850-1899,8648円,74分,115.7%,22件
6,1900-1949,7867円,70分,114.9%,23件
7,1950-1999,4793円,64分,110%,19件
8,2000-2049,7912円,68分,115.5%,20件
9,2050-2099,8621円,66分,117.4%,32件
10,2100-2149,9728円,57分,122.7%,26件
11,2150-2199,7310円,56分,117.3%,29件
12,2200-2249,7752円,51分,120.5%,26件
13,2250-2299,8634円,46分,125.3%,16件
14,2300-2349,8746円,41分,128.7%,25件
15,2350-2399,8422円,34分,133.1%,28件
16,2400-2449,8392円,39分,129%,22件
17,2450-2499,6692円,41分,121.5%,31件
18,2500-2549,6436円,43分,120%,20件
19,2550-2599,8337円,37分,129.8%,30件
20,2600-2649,6907円,39分,123.5%,32件
21,2650-2699,9246円,32分,138.8%,31件
22,2700-2749,9782円,30分,143.7%,21件
23,2750-2799,10277円,29分,146.8%,20件
24,2800-2849,10901円,28分,151.2%,18件
25,2850-2899,11762円,24分,166.3%,14件
26,2900-2949,11869円,21分,174.9%,17件
