,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1200-1249,4594円,105分,105.8%,14件
1,1250-1299,5496円,112分,106.5%,19件
2,1300-1349,7273円,98分,109.9%,25件
3,1350-1399,5872円,103分,107.6%,31件
4,1400-1449,7407円,95分,110.4%,16件
5,1450-1499,5291円,103分,106.8%,16件
6,1500-1549,7097円,95分,110%,26件
7,1550-1599,4918円,98分,106.7%,29件
8,1600-1649,7245円,89分,110.8%,42件
9,1650-1699,7664円,91分,111.2%,32件
10,1700-1749,6902円,91分,110.1%,36件
11,1750-1799,7909円,78分,113.5%,30件
12,1800-1849,7814円,80分,113%,36件
13,1850-1899,5102円,70分,109.7%,26件
14,1900-1949,7937円,76分,114%,33件
15,1950-1999,7328円,69分,114.2%,43件
16,2000-2049,8854円,68分,117.5%,37件
17,2050-2099,6577円,66分,113.3%,38件
18,2100-2149,7864円,61分,117.2%,39件
19,2150-2199,9376円,52分,124.1%,32件
20,2200-2249,8331円,51分,121.7%,35件
21,2250-2299,8659円,45分,125.5%,44件
22,2300-2349,9234円,45分,127.3%,40件
23,2350-2399,5949円,44分,118%,40件
24,2400-2449,7302円,40分,124.2%,31件
25,2450-2499,8641円,36分,131.7%,48件
26,2500-2549,6142円,42分,119.6%,42件
27,2550-2599,7575円,36分,127.9%,38件
28,2600-2649,9007円,33分,136.4%,31件
29,2650-2699,10697円,29分,148.5%,39件
30,2700-2749,9535円,32分,139.8%,26件
31,2750-2799,10127円,28分,148.7%,23件
32,2800-2849,11070円,26分,155.9%,32件
33,2850-2899,12592円,25分,166.7%,30件
34,2900-2949,13031円,23分,176.1%,21件
